"North_cor","East_cor","WaterSE","Code","Point","VertPrec"
1841864.262,6056928.86,7.806,"echo","1365",0.0298
1841864.67,6056929.879,7.803,"echo","1366",0.02989
1841865.655,6056930.711,7.843,"echo","1367",0.02959
1841867.535,6056931.567,7.832,"echo","1369",0.0298
1841868.476,6056932.177,7.776,"echo","1370",0.02958
1841869.036,6056932.454,7.826,"echo","1371",0.02958
1841869.196,6056932.591,7.855,"echo","1372",0.02958
1841869.72,6056932.214,7.824,"echo","1373",0.02958
1841870.187,6056931.868,7.775,"echo","1374",0.02978
1841871.445,6056931.976,7.769,"echo","1375",0.02958
1841873,6056932.28,7.81,"echo","1376",0.02959
1841874.459,6056931.679,7.83,"echo","1377",0.02987
1841875.865,6056931.215,7.818,"echo","1378",0.02957
1841878.018,6056930.971,7.783,"echo","1379",0.02978
1841879.918,6056930.742,7.817,"echo","1380",0.02956
1841881.64,6056929.986,7.793,"echo","1381",0.02956
1841883.213,6056929.293,7.815,"echo","1382",0.02956
1841885.384,6056928.836,7.772,"echo","1383",0.02955
1841887.315,6056928.455,7.794,"echo","1384",0.02955
1841890.978,6056927.253,7.79,"echo","1386",0.02954
1841893.396,6056927.059,7.819,"echo","1387",0.02969
1841895.405,6056926.922,7.808,"echo","1388",0.02972
1841897.304,6056926.525,7.847,"echo","1389",0.02992
1841899.047,6056925.959,7.749,"echo","1390",0.02977
1841901.148,6056925.858,7.81,"echo","1391",0.02979
1841903.172,6056926.014,7.795,"echo","1392",0.02981
1841905.083,6056925.933,7.833,"echo","1393",0.02983
1841906.905,6056925.508,7.78,"echo","1394",0.02985
1841908.936,6056925.444,7.758,"echo","1395",0.02924
1841910.824,6056925.481,7.809,"echo","1396",0.02942
1841912.739,6056924.964,7.761,"echo","1397",0.02949
1841914.606,6056924.622,7.775,"echo","1398",0.02927
1841916.919,6056924.726,7.808,"echo","1399",0.02951
1841919.001,6056924.462,7.791,"echo","1400",0.02951
1841920.926,6056923.988,7.77,"echo","1401",0.02929
1841923.3,6056923.961,7.751,"echo","1402",0.0293
1841925.45,6056923.981,7.807,"echo","1403",0.02951
1841929.287,6056922.912,7.736,"echo","1405",0.0296
1841931.358,6056922.674,7.785,"echo","1406",0.02932
