"Point","North_cor","East_cor","BedSE","WaterSE","Depth_cor","Code","VertPrec"
"4445",1842118.277,6057153.178,12.629,7.786,4.193,"echo",0.02956
"4446",1842116.969,6057151.371,12.613,7.77,4.193,"echo",0.02917
"4447",1842115.915,6057149.563,11.753,7.763,3.34,"echo",0.02956
"4448",1842114.557,6057148.025,11.727,7.77,3.307,"echo",0.03007
"4449",1842113.14,6057146.748,12.321,7.773,3.898,"echo",0.02918
"4450",1842111.872,6057144.842,12.331,7.75,3.931,"echo",0.02919
"4451",1842110.664,6057143.175,12.384,7.803,3.931,"echo",0.02918
"4452",1842109.126,6057141.814,12.314,7.766,3.898,"echo",0.02916
"4453",1842107.847,6057140.035,12.232,7.782,3.8,"echo",0.02917
"4454",1842106.766,6057138.161,12.275,7.793,3.832,"echo",0.02915
"4455",1842105.35,6057136.624,12.287,7.805,3.832,"echo",0.02915
"4456",1842103.96,6057135.252,12.142,7.758,3.734,"echo",0.02916
"4457",1842102.823,6057133.253,12.126,7.775,3.701,"echo",0.02915
"4458",1842101.553,6057131.681,12.139,7.788,3.701,"echo",0.02919
"4459",1842100.062,6057130.344,12.084,7.733,3.701,"echo",0.02917
"4460",1842098.781,6057128.57,12.015,7.729,3.636,"echo",0.02918
"4461",1842097.706,6057126.754,12.079,7.793,3.636,"echo",0.02932
"4462",1842096.22,6057125.28,12.002,7.749,3.603,"echo",0.02921
"4463",1842094.88,6057123.848,12.031,7.778,3.603,"echo",0.02921
"4464",1842093.764,6057121.746,11.912,7.758,3.504,"echo",0.0292
"4465",1842092.482,6057120.113,11.926,7.772,3.504,"echo",0.02922
"4466",1842090.941,6057118.772,11.832,7.743,3.439,"echo",0.02921
"4468",1842088.562,6057115.109,11.841,7.785,3.406,"echo",0.02919
"4469",1842087.082,6057113.625,11.775,7.818,3.307,"echo",0.02918
"4470",1842085.747,6057112.17,11.785,7.795,3.34,"echo",0.02917
"4471",1842084.623,6057110.044,11.726,7.769,3.307,"echo",0.02917
"4472",1842083.338,6057108.366,11.795,7.805,3.34,"echo",0.02916
"4473",1842081.743,6057107.016,11.616,7.757,3.209,"echo",0.02917
"4474",1842080.389,6057105.132,11.548,7.689,3.209,"echo",0.0292
"4475",1842079.251,6057103.397,11.715,7.758,3.307,"echo",0.02919
"4476",1842077.769,6057101.968,11.608,7.749,3.209,"echo",0.02918
"4477",1842076.52,6057100.346,11.657,7.765,3.242,"echo",0.02917
"4478",1842075.425,6057098.238,11.652,7.76,3.242,"echo",0.02918
